Q,A,Context,label
" What was I doing? Your Uncle Marshall was taking the biggest step of his life, and me-I'm calling your Uncle, Barney."," (on the phone) hey, so you know how I've always had a thing for half-Asian girls? Well, now I've got a new favorite: Lebanese girls! Lebanese girls are the new half-Asians."," What was I doing? Your Uncle Marshall was taking the biggest step of his life, and me-I'm calling your Uncle, Barney. |  Hey, you wanna do something tonight?",1
" Hey, you wanna do something tonight?"," Okay, meet me at the bar in fifteen minutes, and Suit up!Scene Two"," Hey, you wanna do something tonight? |  Hey.",2
 Hey.," Where's your suit!? Just once when I say suit up, I wish you'd put on a suit.", Hey. |  I did that one time.,2
 I did that one time., It was a blazer!," I did that one time. |  You know, ever since college it's been Marshall and Lily and me. Now it's going to be Marshall and Lily... and me. They'll get married, start a family-before long I'm the weird, middle-aged bachelor their kids call Uncle Ted.",2
" You know, ever since college it's been Marshall and Lily and me. Now it's going to be Marshall and Lily... and me. They'll get married, start a family-before long I'm the weird, middle-aged bachelor their kids call Uncle Ted.", I see what this is about. Have you forgotten what I said to you the night we met?," You know, ever since college it's been Marshall and Lily and me. Now it's going to be Marshall and Lily... and me. They'll get married, start a family-before long I'm the weird, middle-aged bachelor their kids call Uncle Ted. |  Ted, I'm going to teach you how to live. (Ted's shocked) Barney, we met at the urinal.",1
 I see what this is about. Have you forgotten what I said to you the night we met?," Ted, I'm going to teach you how to live. (Ted's shocked) Barney, we met at the urinal."," I see what this is about. Have you forgotten what I said to you the night we met? |  Oh, right. Hi.",1
" Oh, right. Hi."," Lesson one, lose the goatee. It doesn't look good with your suit."," Oh, right. Hi. |  I'm not wearing a suit.",2
 I'm not wearing a suit.," Lesson two, get a suit. Suits are cool. (Points to self with bear bottle in hand) Exhibit A. (Flirts to a woman unseen) Lesson three, don't even think about getting married till you're... thirty."," I'm not wearing a suit. |  Thirty, right. You're right. I guess it's just, you're best friend gets engaged-you start thinking about that stuff.",2
" Thirty, right. You're right. I guess it's just, you're best friend gets engaged-you start thinking about that stuff."," I thought I was your best friend. Ted, say I'm your best friend."," Thirty, right. You're right. I guess it's just, you're best friend gets engaged-you start thinking about that stuff. |  You're my best friend, Barney.",2
" You're my best friend, Barney."," Good! And as your best friend, I suggest we play a little game called... Have you met Ted?"," You're my best friend, Barney. |  Wai-no, no, no. We're not playing Have You Met Ted?",2
" Wai-no, no, no. We're not playing Have You Met Ted?"," (Taps a woman names Yasmine) Hi, have you met Ted? (Leaves and watches from a distance)."," Wai-no, no, no. We're not playing Have You Met Ted? |  (To Yasmine) Hi, I'm Ted.",2
 Why am I freaking out all of a sudden? This is crazy! I'm not ready to settle down., (ignoring) how does Carl land a Lebanese girl?, Why am I freaking out all of a sudden? This is crazy! I'm not ready to settle down. |  It's always been don't even think about it till you're thirty,2
 It's always been don't even think about it till you're thirty, Exactly-the guy doesn't even own a suit!," It's always been don't even think about it till you're thirty |  Plus Marshall's found the love of his life. Even if I was ready, which I'm not, but if I was it's like, Okay, I'm ready! Where is she? (Spots Robin)",1
" Hey Barney, see that girl?"," (to Robin) Hey, have you met Ted?"," Hey Barney, see that girl? |  Let me guess, (points) Ted?",1
" (stops) Yeah, (agrees) What the hell (passes number to Ted. Throws drink on Ted's face) JERK! (Walks away. Whispers) that was fun.", (comes back laughing) De-wait for it-nied! Denied!," (stops) Yeah, (agrees) What the hell (passes number to Ted. Throws drink on Ted's face) JERK! (Walks away. Whispers) that was fun. |  We're going out tomorrow night.",1
 We're going out tomorrow night., I thought we were playing laser tag tomorrow night?," We're going out tomorrow night. |  Yeah, I was never going to go play laser tag. (Wipes alcohol off his face)Scene Six",1
" Ted, anyone who's single would tell you the same thing. Even the dumbest single person alive, and if you don't believe me...call him."," (Phone) Hey loser, how's not playing laser tag? Because playing laser tag is awesome! Oh, I k*lled you Connor; don't make me get your mom!"," Ted, anyone who's single would tell you the same thing. Even the dumbest single person alive, and if you don't believe me...call him. |  Hey, listen. I need your opinion on something.",1
" Hey, listen. I need your opinion on something."," Okay, meet me at the bar in fifteen minutes-AND SUIT UP![Slides to Bar Scene]"," Hey, listen. I need your opinion on something. |  So these guys think I chickened out. What do you think?",2
 So these guys think I chickened out. What do you think?, I can't believe you're still not wearing a SUIT!, So these guys think I chickened out. What do you think? |  She didn't even give me the signal.,1
 She didn't even give me the signal.," What is she goanna-is she goanna bat her eyes at you in Morse code (bats eyes)?? Ted (bats eyes) Kiss me-No, you just kiss her!", She didn't even give me the signal. |  Not if you don't get the signal.,2
 Not if you don't get the signal., Ee-(Kisses Marshal) Did Marshall give me the signal?," Not if you don't get the signal. |  No! (To Lily) I didn't, I swear.",2
" No! (To Lily) I didn't, I swear."," But see-at least, tonight, I get to sleep knowing, Marshall and Me... never going to happen. You should've kissed her."," No! (To Lily) I didn't, I swear. |  Urgh, I should've kissed her. What about when she gets back from Orlando?",2
" Urgh, I should've kissed her. What about when she gets back from Orlando?", A week? That's like-a year in hot girl time. She'll forget all about you. Mark my words: you will never see that one again.," Urgh, I should've kissed her. What about when she gets back from Orlando? |  There she is...",2
" I never do anything crazy! I'm always waiting for the moment! Planning the moment! Well she's leaving tomorrow this may be the only moment I'm goanna get! I gotta do what that guy couldn't, I gotta take the leap! Okay not a perfect metaphor, for me it's fall in love and get married-for him it's... death."," Actually, that is a perfect metaphor. By the way, did I congratulate you two? (Raises glass to Lily and Marshall)"," I never do anything crazy! I'm always waiting for the moment! Planning the moment! Well she's leaving tomorrow this may be the only moment I'm goanna get! I gotta do what that guy couldn't, I gotta take the leap! Okay not a perfect metaphor, for me it's fall in love and get married-for him it's... death. |  I'm doing this. (Starts to leave)",1
...Barney?," Alright, but under one condition.","...Barney? |  (happy) look at you, you beautiful bastard, you suited up! This is totally going in my blog!",2
